term,negMentionRate,posMentionRate,diffNegPos
front desk,0.25742574257425743,0.08148148148148149,0.17594426109277594
service,0.3910891089108911,0.2962962962962963,0.09479281261459482
rude,0.09405940594059406,0.007407407407407408,0.08665199853318666
dirty,0.07920792079207921,0.003703703703703704,0.0755042170883755
broken,0.06435643564356436,0.0,0.06435643564356436
fee,0.25742574257425743,0.20555555555555555,0.051870187018701885
smell,0.06435643564356436,0.020370370370370372,0.043986065273193986
expensive,0.09405940594059406,0.05185185185185185,0.04220755408874221
noise,0.06435643564356436,0.024074074074074074,0.040282361569490284
parking,0.13366336633663367,0.09814814814814815,0.03551521818848552
bathroom,0.25742574257425743,0.22592592592592592,0.03149981664833151
clean,0.20297029702970298,0.17222222222222222,0.030748074807480763
bed,0.3316831683168317,0.3055555555555556,0.02612761276127612
staff,0.24752475247524752,0.30185185185185187,-0.05432709937660435
