Unnamed: 0,reviewID,reviewContent,rating,usefulCount,coolCount,funnyCount,sentGroup,cleanReview,dominantTopic,topicLabel
2986,vURf9AGmThDrRC9TVcQrdw,"The good:  the view; location The bad:  service non-existent (or rude when you get someone's attention) Dirty, dingy, tired rooms (stains on sheets, walls, really foul) Cheap furniture Air conditioning erratic and LOUD Poor lighting (don't even try to shave in the bathroom); dimly lit elevators Constant barrage of music. Very dated atmosphere. So many better choices (and cheaper).",1,0,0,0,Negative,good view location bad service non existent rude someone attention dirty dingy tired room stain sheet wall really foul cheap furniture air conditioning erratic loud poor lighting even try shave bathroom dimly lit elevator constant barrage music dated atmosphere many better choice cheaper,1,Service Breakdown/Attitude
2992,KZPXFD-Db0XGgVta97Nzrg,"The location and the atmosphere of the hotel is nice,  The rooms were comfy and great view. However, the service is absolutely awful and unacceptable.It was hectic and chaotic and not what we would expect from a 4-star hotel, let alone the W. I am a frequent patron of the Starwood Family and this was absolutely dis-concerning. The concierges didn't even know the area, nor were they friendly or helpful. And when I finally dragged out of them a recommendation, it was probably the worst meal we ever had. He basically googled the restaurant that was closest to where we were going. Unacceptable.     The Acura car was never available and the spa was not enjoyable. The bar-tending staff was rude and slow. The elevator took forever and in a elevator conversation with another guest, they initiated the conversation on how disappointing this hotel was and chaotic and relaxing. So glad I was not the only one! I wouldn't return with all of the great hotels in Chicago.",1,0,0,0,Negative,location atmosphere nice room comfy great view however service absolutely awful unacceptable hectic chaotic expect star let alone frequent patron starwood family absolutely dis concerning concierge even know area friendly helpful finally dragged recommendation probably worst meal ever basically googled restaurant closest going unacceptable acura car never available spa enjoyable bar tending staff rude slow elevator took forever elevator conversation another guest initiated conversation disappointing chaotic relaxing glad return great hotel chicago,5,Price/Fees/Poor Value
3004,QyZQpwn6t31pOg9SSyO13Q,"First time staying @ a W and if they are all like this one, probably the last. Booked a 2 night stay here over the holidays to take advantage of their indoor pool and take the family out to downtown restaurants for a change. The room was tiny and so was the bathroom.  Unlike the Renaissance on Wacker which has 2 queen size beds and plenty of room, this place can only squeeze in two doubles and barely leave enough room to move around.  It's so bad, that they do not even have a luggage rack: no place to put it.  So basically you put your suitcase on a shelf just below where all your clothes would hand in their wall mounted organizer. The bathroom also lacks a real door.  We had a sliding bamboo door and shutters. I shit you not!  There are wooden shutters in a wall separating the main room from the bathroom. Front desk service here is a hit or miss as well.  Checking in, I said I did not have my Starwood card with me.  In most places they volunteer to look it up or provide some guidance to earn points after the fact.  Not here, she just ignored me.  Not a big deal, as I seldom stay @ Starwood properties; prefer Marriott and Hilton brands. Parking here is $53 a night, which is steep even by downtown standards.  If you are heading to Navy Pier, the location is great.  If you want Michigan Ave or the many restaurants 100E-500W, then you have a nice hike ahead of you.",2,2,0,0,Negative,first time staying probably last booked holiday take advantage indoor pool take family downtown restaurant change tiny bathroom unlike renaissance wacker queen size bed plenty squeeze two double barely leave enough move around bad even luggage rack put basically put suitcase shelf clothes hand wall mounted organizer bathroom lack real door sliding bamboo door shutter shit wooden shutter wall separating main bathroom front desk service hit miss well checking said starwood card place volunteer look provide guidance earn point fact ignored big deal seldom starwood property prefer marriott hilton brand parking steep even downtown standard heading navy pier location great want michigan ave many restaurant nice hike ahead,2,Cleanliness/Wear/Poor Upkeep
3017,MhW8UbJHOkLJrm9hvCkAZQ,Was truly  disapointed!! it has GREAT lake views and of navu pier as well but thats all it  has going for it. The rooms were okay - quite open concept with a window in the bathroom which opens up ito the bedroom - not sure why you need that? LOL! the lobby and hallways are dark and loud - the W way. We got carded at the bar upstairs and downstairs which was annoying - we were old enough to buy  a room there but not a drink! really?,2,0,0,0,Negative,truly disapointed great lake view navu pier well thats going room okay quite open concept window bathroom open ito bedroom sure need lol lobby hallway dark loud way got carded bar upstairs downstairs annoying old enough buy drink really,5,Price/Fees/Poor Value
3019,VSRoLj0,Pros - View of Lake Michigan - Food was solid combined with outdoor seating - Location - great location - close to Navy Pier & Michigan Ave Cons -Rooms/bathroom are small (even with upgrade) -Air-conditioning obscenely loud (according to the wife) -Rooms look dated but they tried hard to update them (Used to be an old Days Inn) -Wife thought the room smelled (1st room was smoky and we got switched; second room has carpet cleaner overkill) -Service was poor - specifically bell desk shuttling us a new key that never happened and I ultimately headed down there. Conrad & Blackstone are still my go-to properties in Chi-town. Still figuring out the best SPG option.,2,1,0,0,Negative,pro view lake michigan food solid combined outdoor seating location great location close navy pier michigan ave con room bathroom small even upgrade air conditioning obscenely loud according wife room look dated tried hard update used old day inn wife thought smelled smoky got switched second carpet cleaner overkill service poor specifically bell desk shuttling new key never happened ultimately headed conrad blackstone still property chi town still figuring best spg option,1,Service Breakdown/Attitude
3023,wxfgopuQejwJVxIr0ISh5g,"The service at the w is the worst. Checking in no porter or bell man. Checked in at the front desk and told the lady. She said would you like help with your bags. I said absolutely and told her no one was out front to help. Waited. No one shows up. I take them myself. Concierge is totally unhelpful and completely overwhelmed. The front desk, they live here but don't know where anything is. I just travel advisor it or google map it. Unreal. The wave restaurant is opposite. Food is delicious and service is excellent!!! Checking out, waited 25 minutes for luggage assistance and guess what no one shows up and again I take it downstairs myself. I tell the front desk again. They say they'll send someone up and again I bring the luggage down myself. Worst service in this hotel.",2,0,0,0,Negative,service worst checking porter bell man checked front desk told lady said help bag said absolutely told front help waited show take concierge totally unhelpful completely overwhelmed front desk live know anything travel advisor google map unreal wave restaurant opposite food delicious service excellent checking waited minute luggage assistance guess show take downstairs tell front desk say send someone bring luggage worst service,2,Cleanliness/Wear/Poor Upkeep
3026,hTlk5RyVr,"If you are a hot young thing from the suburbs on the make with no need for good bar service, try the lounge! If you are an adult who travels quite a bit and resents paying a substantial chunk of money to be treated like crap by the staff, try another hotel!",2,1,0,1,Negative,hot young thing suburb make need good bar service try lounge adult travel quite bit resents paying substantial chunk money treated crap staff try another,3,Design Flaws/Lack of Privacy
3027,AIFBFvotVaUy9d2d0UCshw,Bad service + dirty room with a super small bathroom + outdated techno music through out.,2,1,0,0,Negative,bad service dirty super small bathroom outdated techno music,2,Cleanliness/Wear/Poor Upkeep
3036,uHTUc42kTfgIAasD1STPTQ,"I felt like a sleeze in this place. It was not classy at all. It was like trashy trendy. The rooms are soooo beyond outdated and the wooden shutters that hide the bathroom from the rest of the room?...Ew.  Who in the world came up with that idea? Did they assume everyone would be married and totally turned on by the sights sounds and smells of each others bathroomtime? I was only here for my job but upon immediately finding out that the W was where we were planted, I reserved myself a completely different hotel and I'm glad. My coworker said she didnt sleep a wink that night because the AC was so freakin loud. Room service was terribly slow (60 min wait time) and the food arrived cold (should've known)...  The dessert with icecream on the side was totally melted.  They sent us back up new orders at no cost and the food was much faster/better that time. Thank goodness. I am glad I got to experience this place for free because it was about the same class as a trendied up days inn.",2,3,2,2,Negative,felt sleeze classy trashy trendy room soooo beyond outdated wooden shutter hide bathroom rest world came idea assume everyone married totally turned sight sound smell others bathroomtime job upon immediately finding planted reserved completely different glad coworker said didnt sleep wink freakin loud service terribly slow min wait time food arrived cold known dessert icecream side totally melted sent back new order cost food much faster better time thank goodness glad got experience free class trendied day inn,3,Design Flaws/Lack of Privacy
3042,kN,"It is dark in the hallways, dark in the rooms. I understand the point of trying to be trendy, but I kind of like the idea of seeing if the room is clean or not.  This former Days Inn, next to a construction site for the next year btw, has small rooms and a bar that pretends to be trendy. W was hot in the early part of this century, but seems more vegas than anything else. Too many other hotels in Chicago that are better than this one.",2,3,1,1,Negative,dark hallway dark room understand point trying trendy kind idea seeing clean former day inn next construction site next year btw small room bar pretend trendy hot early part century seems vega anything else many hotel chicago better,4,Noise/Atmosphere Problem
